date;DTYPE;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore
2024-12-25 00:00:00;CONS;8306.0;106.0;12285.0;192.0;0.0;3528.0;-255.0;103.0;0.0;0.0;0.0;0.0
2024-12-25 00:15:00;CONS;;;;;;;;;;;;
2024-12-25 00:30:00;CONS;8508.0;106.0;12382.0;190.0;0.0;3852.0;-699.0;104.0;0.0;0.0;0.0;0.0
2024-12-25 00:45:00;CONS;;;;;;;;;;;;
2024-12-25 01:00:00;CONS;8033.0;106.0;12292.0;199.0;0.0;3395.0;-902.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 01:15:00;CONS;;;;;;;;;;;;
2024-12-25 01:30:00;CONS;8018.0;105.0;12301.0;189.0;0.0;3087.0;-902.0;104.0;0.0;0.0;0.0;0.0
2024-12-25 01:45:00;CONS;;;;;;;;;;;;
2024-12-25 02:00:00;CONS;8090.0;106.0;12269.0;171.0;0.0;3035.0;-1050.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 02:15:00;CONS;;;;;;;;;;;;
2024-12-25 02:30:00;CONS;8082.0;105.0;12211.0;152.0;0.0;2704.0;-1457.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 02:45:00;CONS;;;;;;;;;;;;
2024-12-25 03:00:00;CONS;7835.0;106.0;12266.0;161.0;0.0;2732.0;-1449.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 03:15:00;CONS;;;;;;;;;;;;
2024-12-25 03:30:00;CONS;7765.0;105.0;12352.0;167.0;0.0;2691.0;-1167.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 03:45:00;CONS;;;;;;;;;;;;
2024-12-25 04:00:00;CONS;7757.0;105.0;12378.0;167.0;0.0;2671.0;-1342.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 04:15:00;CONS;;;;;;;;;;;;
2024-12-25 04:30:00;CONS;7644.0;103.0;12388.0;159.0;0.0;2786.0;-1459.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 04:45:00;CONS;;;;;;;;;;;;
2024-12-25 05:00:00;CONS;7595.0;98.0;12413.0;144.0;0.0;2806.0;-1528.0;108.0;0.0;0.0;0.0;0.0
2024-12-25 05:15:00;CONS;;;;;;;;;;;;
2024-12-25 05:30:00;CONS;7656.0;98.0;12382.0;152.0;0.0;2950.0;-1759.0;109.0;0.0;0.0;0.0;0.0
2024-12-25 05:45:00;CONS;;;;;;;;;;;;
2024-12-25 06:00:00;CONS;7571.0;98.0;12385.0;145.0;0.0;2858.0;-1783.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 06:15:00;CONS;;;;;;;;;;;;
2024-12-25 06:30:00;CONS;7402.0;96.0;12395.0;150.0;0.0;3204.0;-1477.0;109.0;0.0;0.0;0.0;0.0
2024-12-25 06:45:00;CONS;;;;;;;;;;;;
2024-12-25 07:00:00;CONS;7551.0;99.0;12401.0;138.0;0.0;3044.0;-1475.0;108.0;0.0;0.0;0.0;0.0
2024-12-25 07:15:00;CONS;;;;;;;;;;;;
2024-12-25 07:30:00;CONS;7466.0;104.0;12409.0;132.0;0.0;3000.0;-1185.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 07:45:00;CONS;;;;;;;;;;;;
2024-12-25 08:00:00;CONS;7724.0;106.0;12407.0;139.0;0.0;3143.0;-1079.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 08:15:00;CONS;;;;;;;;;;;;
2024-12-25 08:30:00;CONS;7671.0;106.0;12481.0;156.0;3.0;3348.0;-1079.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 08:45:00;CONS;;;;;;;;;;;;
2024-12-25 09:00:00;CONS;8192.0;106.0;12477.0;146.0;48.0;3413.0;-734.0;104.0;0.0;0.0;0.0;0.0
2024-12-25 09:15:00;CONS;;;;;;;;;;;;
2024-12-25 09:30:00;CONS;8278.0;106.0;12443.0;144.0;159.0;3416.0;-789.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 09:45:00;CONS;;;;;;;;;;;;
2024-12-25 10:00:00;CONS;8185.0;106.0;12460.0;133.0;300.0;3590.0;-683.0;107.0;0.0;0.0;0.0;0.0
2024-12-25 10:15:00;CONS;;;;;;;;;;;;
2024-12-25 10:30:00;CONS;8228.0;106.0;12485.0;131.0;477.0;3651.0;-683.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 10:45:00;CONS;;;;;;;;;;;;
2024-12-25 11:00:00;CONS;8374.0;106.0;12475.0;131.0;659.0;3559.0;-682.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 11:15:00;CONS;;;;;;;;;;;;
2024-12-25 11:30:00;CONS;8379.0;106.0;12479.0;129.0;849.0;3602.0;-380.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 11:45:00;CONS;;;;;;;;;;;;
2024-12-25 12:00:00;CONS;8231.0;106.0;12437.0;138.0;967.0;3554.0;-654.0;103.0;0.0;0.0;0.0;0.0
2024-12-25 12:15:00;CONS;;;;;;;;;;;;
2024-12-25 12:30:00;CONS;8327.0;105.0;12476.0;142.0;1064.0;3472.0;-531.0;104.0;0.0;0.0;0.0;0.0
2024-12-25 12:45:00;CONS;;;;;;;;;;;;
2024-12-25 13:00:00;CONS;8248.0;105.0;12492.0;179.0;1095.0;3451.0;-539.0;105.0;0.0;0.0;0.0;0.0
2024-12-25 13:15:00;CONS;;;;;;;;;;;;
2024-12-25 13:30:00;CONS;8105.0;105.0;12487.0;172.0;1051.0;3053.0;-677.0;105.0;0.0;0.0;0.0;0.0
2024-12-25 13:45:00;CONS;;;;;;;;;;;;
2024-12-25 14:00:00;CONS;7677.0;105.0;12494.0;166.0;945.0;3051.0;-438.0;106.0;0.0;0.0;0.0;0.0
2024-12-25 14:15:00;CONS;;;;;;;;;;;;
2024-12-25 14:30:00;CONS;7600.0;105.0;12503.0;158.0;820.0;3232.0;-520.0;106.0;0.0;0.0;0.0;0.0
