date;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore
2025-09-01 00:00:00;5501.0;27.0;8265.0;63.0;0.0;2524.0;-1.0;81.0;0.0;0.0;ND;ND
2025-09-01 00:15:00;5424.0;27.0;8261.0;57.0;0.0;2412.0;-2.0;81.0;0.0;0.0;ND;ND
2025-09-01 00:30:00;5297.0;27.0;8257.0;57.0;0.0;2236.0;-1.0;81.0;0.0;0.0;ND;ND
2025-09-01 00:45:00;5077.0;27.0;8259.0;58.0;0.0;2176.0;-159.0;81.0;0.0;0.0;ND;ND
2025-09-01 01:00:00;5092.0;27.0;8189.0;80.0;0.0;2034.0;-160.0;81.0;0.0;0.0;ND;ND
2025-09-01 01:15:00;5089.0;27.0;8113.0;79.0;0.0;1887.0;-650.0;81.0;0.0;0.0;ND;ND
2025-09-01 01:30:00;5025.0;27.0;8028.0;101.0;0.0;1910.0;-648.0;81.0;0.0;0.0;ND;ND
2025-09-01 01:45:00;5082.0;27.0;8039.0;80.0;0.0;1843.0;-888.0;81.0;0.0;0.0;ND;ND
2025-09-01 02:00:00;5103.0;27.0;7952.0;53.0;0.0;1844.0;-891.0;81.0;0.0;0.0;ND;ND
2025-09-01 02:15:00;5228.0;27.0;8178.0;59.0;0.0;1845.0;-1845.0;80.0;0.0;0.0;ND;ND
2025-09-01 02:30:00;5077.0;27.0;8201.0;78.0;0.0;1818.0;-1843.0;80.0;0.0;0.0;ND;ND
2025-09-01 02:45:00;5088.0;27.0;8179.0;82.0;0.0;1794.0;-1843.0;81.0;0.0;0.0;ND;ND
2025-09-01 03:00:00;4942.0;27.0;8021.0;72.0;0.0;1790.0;-1843.0;81.0;0.0;0.0;ND;ND
2025-09-01 03:15:00;4960.0;27.0;8067.0;69.0;0.0;1977.0;-1843.0;81.0;0.0;0.0;ND;ND
2025-09-01 03:30:00;4880.0;27.0;8059.0;65.0;0.0;1899.0;-1848.0;81.0;0.0;0.0;ND;ND
2025-09-01 03:45:00;4895.0;27.0;8078.0;72.0;0.0;1732.0;-1842.0;81.0;0.0;0.0;ND;ND
2025-09-01 04:00:00;4831.0;27.0;8111.0;72.0;0.0;1770.0;-1841.0;81.0;0.0;0.0;ND;ND
2025-09-01 04:15:00;4907.0;27.0;8044.0;63.0;0.0;1700.0;-1843.0;81.0;0.0;0.0;ND;ND
2025-09-01 04:30:00;4830.0;27.0;8020.0;60.0;0.0;1715.0;-1841.0;81.0;0.0;0.0;ND;ND
2025-09-01 04:45:00;4849.0;27.0;8088.0;48.0;0.0;1714.0;-1841.0;81.0;0.0;0.0;ND;ND
2025-09-01 05:00:00;4905.0;27.0;8012.0;44.0;0.0;1708.0;-1846.0;81.0;0.0;0.0;ND;ND
2025-09-01 05:15:00;5077.0;27.0;8035.0;42.0;0.0;1827.0;-1839.0;81.0;-4.0;0.0;ND;ND
2025-09-01 05:30:00;5029.0;27.0;8043.0;37.0;0.0;1845.0;-1838.0;81.0;-4.0;0.0;ND;ND
2025-09-01 05:45:00;5173.0;27.0;8045.0;37.0;0.0;1848.0;-1838.0;81.0;-4.0;0.0;ND;ND
2025-09-01 06:00:00;5290.0;27.0;8074.0;37.0;0.0;1848.0;-1843.0;81.0;0.0;0.0;ND;ND
2025-09-01 06:15:00;5372.0;27.0;8007.0;43.0;0.0;1809.0;-479.0;81.0;-3.0;0.0;ND;ND
2025-09-01 06:30:00;5524.0;27.0;8022.0;43.0;0.0;1943.0;-400.0;81.0;-4.0;0.0;ND;ND
2025-09-01 06:45:00;5707.0;27.0;8022.0;39.0;0.0;1952.0;-321.0;81.0;-3.0;0.0;ND;ND
2025-09-01 07:00:00;5751.0;27.0;8161.0;33.0;13.0;2380.0;-321.0;81.0;0.0;0.0;ND;ND
2025-09-01 07:15:00;5867.0;27.0;8242.0;44.0;35.0;3618.0;-320.0;81.0;0.0;4.0;ND;ND
2025-09-01 07:30:00;5940.0;27.0;8250.0;46.0;59.0;3779.0;-322.0;81.0;0.0;4.0;ND;ND
2025-09-01 07:45:00;6002.0;27.0;8261.0;49.0;81.0;3608.0;-320.0;81.0;0.0;3.0;ND;ND
2025-09-01 08:00:00;6098.0;27.0;8271.0;48.0;114.0;3637.0;0.0;81.0;0.0;4.0;ND;ND
2025-09-01 08:15:00;6205.0;27.0;8275.0;41.0;190.0;3632.0;0.0;81.0;0.0;4.0;ND;ND
2025-09-01 08:30:00;6262.0;27.0;8283.0;36.0;278.0;3667.0;-1.0;81.0;0.0;0.0;ND;ND
2025-09-01 08:45:00;6374.0;27.0;8278.0;32.0;376.0;3532.0;0.0;81.0;0.0;0.0;ND;ND
2025-09-01 09:00:00;6533.0;27.0;8277.0;33.0;477.0;2847.0;0.0;81.0;0.0;0.0;ND;ND
2025-09-01 09:15:00;6758.0;27.0;8271.0;32.0;582.0;3457.0;0.0;81.0;0.0;3.0;ND;ND
2025-09-01 09:30:00;6905.0;27.0;8282.0;30.0;695.0;3472.0;-2.0;81.0;0.0;0.0;ND;ND
2025-09-01 09:45:00;6679.0;28.0;8164.0;31.0;508.0;3404.0;0.0;81.0;0.0;0.0;ND;ND
2025-09-01 10:00:00;6629.0;28.0;8179.0;31.0;546.0;2784.0;0.0;81.0;0.0;0.0;ND;ND
2025-09-01 10:15:00;6630.0;28.0;8153.0;27.0;639.0;2469.0;-161.0;81.0;0.0;0.0;ND;ND
2025-09-01 10:30:00;6641.0;28.0;8117.0;32.0;703.0;2379.0;-160.0;81.0;0.0;0.0;ND;ND
2025-09-01 10:45:00;6792.0;28.0;8138.0;29.0;806.0;2293.0;-652.0;81.0;0.0;0.0;ND;ND
2025-09-01 11:00:00;6919.0;27.0;8143.0;35.0;946.0;2367.0;-648.0;81.0;0.0;0.0;ND;ND
2025-09-01 11:15:00;6773.0;27.0;8244.0;37.0;1004.0;2487.0;-1138.0;81.0;0.0;1.0;ND;ND
2025-09-01 11:30:00;7032.0;28.0;8230.0;39.0;1085.0;2700.0;-1135.0;81.0;0.0;0.0;ND;ND
2025-09-01 11:45:00;7116.0;28.0;8185.0;38.0;1078.0;2302.0;-1135.0;81.0;0.0;0.0;ND;ND
2025-09-01 12:00:00;7184.0;28.0;8176.0;42.0;1031.0;2372.0;-1134.0;81.0;0.0;0.0;ND;ND
2025-09-01 12:15:00;7328.0;28.0;8116.0;41.0;1121.0;2209.0;-1138.0;81.0;0.0;0.0;ND;ND
2025-09-01 12:30:00;7300.0;28.0;8103.0;46.0;1123.0;2121.0;-1290.0;81.0;0.0;0.0;ND;ND
2025-09-01 12:45:00;7244.0;28.0;8083.0;39.0;1130.0;2176.0;-1376.0;81.0;0.0;0.0;ND;ND
2025-09-01 13:00:00;7142.0;28.0;8044.0;44.0;1030.0;1964.0;-1376.0;81.0;0.0;0.0;ND;ND
2025-09-01 13:15:00;7224.0;27.0;7702.0;46.0;1094.0;1890.0;-1606.0;81.0;-5.0;0.0;ND;ND
2025-09-01 13:30:00;7259.0;28.0;7476.0;39.0;1135.0;1872.0;-1610.0;81.0;0.0;0.0;ND;ND
2025-09-01 13:45:00;7132.0;27.0;7434.0;49.0;1098.0;1822.0;-1607.0;81.0;0.0;0.0;ND;ND
2025-09-01 14:00:00;7289.0;27.0;7454.0;62.0;1182.0;1956.0;-1575.0;81.0;0.0;0.0;ND;ND
