date;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore
2024-01-01 00:00:00;7550.0;126.0;9105.0;204.0;0.0;2563.0;-1294.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 00:15:00;;;;;;;;;;;;
2024-01-01 00:30:00;7457.0;125.0;8871.0;194.0;0.0;2505.0;-1116.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 00:45:00;;;;;;;;;;;;
2024-01-01 01:00:00;7256.0;125.0;8827.0;175.0;0.0;2388.0;-1206.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 01:15:00;;;;;;;;;;;;
2024-01-01 01:30:00;7247.0;125.0;8937.0;156.0;0.0;2433.0;-836.0;123.0;0.0;0.0;0.0;0.0
2024-01-01 01:45:00;;;;;;;;;;;;
2024-01-01 02:00:00;7133.0;125.0;8898.0;148.0;0.0;2395.0;-849.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 02:15:00;;;;;;;;;;;;
2024-01-01 02:30:00;7344.0;125.0;8929.0;158.0;0.0;2459.0;-1112.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 02:45:00;;;;;;;;;;;;
2024-01-01 03:00:00;7118.0;125.0;8921.0;138.0;0.0;2920.0;-1286.0;121.0;0.0;0.0;0.0;0.0
2024-01-01 03:15:00;;;;;;;;;;;;
2024-01-01 03:30:00;7079.0;125.0;8900.0;112.0;0.0;2244.0;-1099.0;121.0;0.0;0.0;0.0;0.0
2024-01-01 03:45:00;;;;;;;;;;;;
2024-01-01 04:00:00;7047.0;125.0;8897.0;118.0;0.0;2233.0;-1189.0;123.0;0.0;0.0;0.0;0.0
2024-01-01 04:15:00;;;;;;;;;;;;
2024-01-01 04:30:00;6869.0;125.0;8911.0;100.0;0.0;2253.0;-1518.0;123.0;0.0;0.0;0.0;0.0
2024-01-01 04:45:00;;;;;;;;;;;;
2024-01-01 05:00:00;6821.0;125.0;8897.0;88.0;0.0;2230.0;-1517.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 05:15:00;;;;;;;;;;;;
2024-01-01 05:30:00;6884.0;125.0;8900.0;88.0;0.0;2211.0;-1608.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 05:45:00;;;;;;;;;;;;
2024-01-01 06:00:00;6775.0;125.0;8827.0;78.0;0.0;2186.0;-1607.0;122.0;0.0;0.0;0.0;0.0
2024-01-01 06:15:00;;;;;;;;;;;;
2024-01-01 06:30:00;6752.0;125.0;8910.0;71.0;0.0;2245.0;-1328.0;121.0;0.0;0.0;0.0;0.0
2024-01-01 06:45:00;;;;;;;;;;;;
2024-01-01 07:00:00;6710.0;125.0;8939.0;75.0;0.0;2297.0;-1283.0;120.0;0.0;0.0;0.0;0.0
2024-01-01 07:15:00;;;;;;;;;;;;
2024-01-01 07:30:00;6760.0;125.0;8950.0;72.0;0.0;2356.0;-1271.0;119.0;0.0;0.0;0.0;0.0
2024-01-01 07:45:00;;;;;;;;;;;;
2024-01-01 08:00:00;6737.0;125.0;8907.0;82.0;0.0;2572.0;-1323.0;117.0;0.0;0.0;0.0;0.0
2024-01-01 08:15:00;;;;;;;;;;;;
2024-01-01 08:30:00;6768.0;125.0;8807.0;113.0;1.0;2278.0;-1569.0;118.0;0.0;0.0;0.0;0.0
2024-01-01 08:45:00;;;;;;;;;;;;
