date;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore
2023-01-01 00:00:00;5013.0;162.0;7836.0;471.0;0.0;3929.0;-969.0;121.0;0.0;0.0;0.0;0.0
2023-01-01 00:15:00;;;;;;;;;;;;
2023-01-01 00:30:00;6442.0;161.0;7884.0;462.0;0.0;3862.0;-955.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 00:45:00;;;;;;;;;;;;
2023-01-01 01:00:00;5966.0;161.0;7968.0;423.0;0.0;3965.0;-1080.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 01:15:00;;;;;;;;;;;;
2023-01-01 01:30:00;6089.0;161.0;7924.0;363.0;0.0;3872.0;-1255.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 01:45:00;;;;;;;;;;;;
2023-01-01 02:00:00;6020.0;161.0;7955.0;358.0;0.0;3595.0;-1165.0;121.0;0.0;0.0;0.0;0.0
2023-01-01 02:15:00;;;;;;;;;;;;
2023-01-01 02:30:00;6310.0;160.0;7899.0;345.0;0.0;3552.0;-696.0;120.0;0.0;0.0;0.0;0.0
2023-01-01 02:45:00;;;;;;;;;;;;
2023-01-01 03:00:00;6578.0;158.0;7550.0;356.0;0.0;3282.0;-732.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 03:15:00;;;;;;;;;;;;
2023-01-01 03:30:00;5985.0;158.0;7452.0;361.0;0.0;3104.0;-728.0;118.0;0.0;0.0;0.0;0.0
2023-01-01 03:45:00;;;;;;;;;;;;
2023-01-01 04:00:00;5806.0;157.0;7442.0;371.0;0.0;2692.0;-1208.0;117.0;0.0;0.0;0.0;0.0
2023-01-01 04:15:00;;;;;;;;;;;;
2023-01-01 04:30:00;5752.0;160.0;7427.0;359.0;0.0;2366.0;-1208.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 04:45:00;;;;;;;;;;;;
2023-01-01 05:00:00;5567.0;161.0;7427.0;343.0;0.0;2341.0;-1299.0;117.0;0.0;0.0;0.0;0.0
2023-01-01 05:15:00;;;;;;;;;;;;
2023-01-01 05:30:00;5486.0;160.0;7451.0;332.0;0.0;2294.0;-1761.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 05:45:00;;;;;;;;;;;;
2023-01-01 06:00:00;5437.0;160.0;7455.0;344.0;0.0;2310.0;-1761.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 06:15:00;;;;;;;;;;;;
2023-01-01 06:30:00;5534.0;159.0;7436.0;337.0;0.0;2287.0;-1772.0;117.0;0.0;0.0;0.0;0.0
2023-01-01 06:45:00;;;;;;;;;;;;
2023-01-01 07:00:00;5580.0;159.0;7431.0;307.0;0.0;2291.0;-1797.0;117.0;0.0;0.0;0.0;0.0
2023-01-01 07:15:00;;;;;;;;;;;;
2023-01-01 07:30:00;5528.0;156.0;7442.0;314.0;0.0;2339.0;-1931.0;118.0;0.0;0.0;0.0;0.0
2023-01-01 07:45:00;;;;;;;;;;;;
2023-01-01 08:00:00;5270.0;161.0;7443.0;339.0;0.0;2177.0;-1930.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 08:15:00;;;;;;;;;;;;
2023-01-01 08:30:00;5658.0;160.0;7541.0;344.0;2.0;2302.0;-1899.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 08:45:00;;;;;;;;;;;;
2023-01-01 09:00:00;5766.0;161.0;7584.0;366.0;47.0;2295.0;-1875.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 09:15:00;;;;;;;;;;;;
2023-01-01 09:30:00;5638.0;155.0;7407.0;475.0;145.0;2373.0;-1948.0;121.0;0.0;0.0;0.0;0.0
2023-01-01 09:45:00;;;;;;;;;;;;
2023-01-01 10:00:00;5864.0;154.0;7466.0;472.0;261.0;2470.0;-1767.0;120.0;0.0;0.0;0.0;0.0
2023-01-01 10:15:00;;;;;;;;;;;;
2023-01-01 10:30:00;5842.0;154.0;7496.0;477.0;388.0;2457.0;-1734.0;121.0;0.0;0.0;0.0;0.0
2023-01-01 10:45:00;;;;;;;;;;;;
2023-01-01 11:00:00;6035.0;154.0;7473.0;469.0;506.0;2538.0;-1381.0;120.0;0.0;0.0;0.0;0.0
2023-01-01 11:15:00;;;;;;;;;;;;
2023-01-01 11:30:00;5972.0;153.0;7576.0;448.0;582.0;2613.0;-1319.0;118.0;0.0;0.0;0.0;0.0
2023-01-01 11:45:00;;;;;;;;;;;;
2023-01-01 12:00:00;6023.0;153.0;7588.0;475.0;640.0;2836.0;-1338.0;122.0;0.0;0.0;0.0;0.0
2023-01-01 12:15:00;;;;;;;;;;;;
2023-01-01 12:30:00;5801.0;154.0;7581.0;498.0;664.0;3602.0;-1158.0;119.0;0.0;0.0;0.0;0.0
2023-01-01 12:45:00;;;;;;;;;;;;
2023-01-01 13:00:00;6275.0;152.0;7493.0;496.0;676.0;4150.0;-946.0;120.0;0.0;0.0;0.0;0.0
2023-01-01 13:15:00;;;;;;;;;;;;
2023-01-01 13:30:00;5978.0;151.0;7933.0;493.0;666.0;3704.0;-869.0;118.0;0.0;0.0;0.0;0.0
2023-01-01 13:45:00;;;;;;;;;;;;
2023-01-01 14:00:00;5843.0;155.0;8122.0;502.0;591.0;3559.0;-1127.0;116.0;0.0;0.0;0.0;0.0
2023-01-01 14:15:00;;;;;;;;;;;;
2023-01-01 14:30:00;5685.0;155.0;8302.0;506.0;454.0;3511.0;-1115.0;114.0;0.0;0.0;0.0;0.0
2023-01-01 14:45:00;;;;;;;;;;;;
2023-01-01 15:00:00;5489.0;158.0;8329.0;495.0;318.0;3708.0;-790.0;115.0;0.0;0.0;0.0;0.0
2023-01-01 15:15:00;;;;;;;;;;;;
2023-01-01 15:30:00;5926.0;158.0;8225.0;501.0;211.0;3556.0;-71.0;114.0;0.0;0.0;0.0;0.0
2023-01-01 15:45:00;;;;;;;;;;;;
2023-01-01 16:00:00;5398.0;158.0;8273.0;505.0;139.0;3497.0;-23.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 16:15:00;;;;;;;;;;;;
2023-01-01 16:30:00;5810.0;159.0;8382.0;506.0;68.0;3817.0;-23.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 16:45:00;;;;;;;;;;;;
2023-01-01 17:00:00;5495.0;158.0;8405.0;516.0;12.0;3949.0;-22.0;114.0;0.0;0.0;0.0;0.0
2023-01-01 17:15:00;;;;;;;;;;;;
2023-01-01 17:30:00;5846.0;157.0;8438.0;512.0;0.0;5562.0;-22.0;112.0;0.0;0.0;0.0;0.0
2023-01-01 17:45:00;;;;;;;;;;;;
2023-01-01 18:00:00;6521.0;157.0;8423.0;520.0;0.0;5585.0;-22.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 18:15:00;;;;;;;;;;;;
2023-01-01 18:30:00;6565.0;158.0;8421.0;505.0;0.0;4996.0;-22.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 18:45:00;;;;;;;;;;;;
2023-01-01 19:00:00;6537.0;158.0;8485.0;512.0;0.0;5076.0;-22.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 19:15:00;;;;;;;;;;;;
2023-01-01 19:30:00;6928.0;158.0;8492.0;510.0;0.0;4761.0;-22.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 19:45:00;;;;;;;;;;;;
2023-01-01 20:00:00;6681.0;158.0;8501.0;522.0;0.0;3818.0;-22.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 20:15:00;;;;;;;;;;;;
2023-01-01 20:30:00;6755.0;158.0;8503.0;524.0;0.0;3605.0;-22.0;114.0;0.0;0.0;0.0;0.0
2023-01-01 20:45:00;;;;;;;;;;;;
2023-01-01 21:00:00;6760.0;158.0;8482.0;518.0;0.0;3137.0;-104.0;112.0;0.0;0.0;0.0;0.0
2023-01-01 21:15:00;;;;;;;;;;;;
2023-01-01 21:30:00;6287.0;158.0;8433.0;518.0;0.0;2987.0;-104.0;116.0;0.0;0.0;0.0;0.0
2023-01-01 21:45:00;;;;;;;;;;;;
2023-01-01 22:00:00;6297.0;158.0;8416.0;523.0;0.0;2961.0;-104.0;112.0;0.0;0.0;0.0;0.0
2023-01-01 22:15:00;;;;;;;;;;;;
2023-01-01 22:30:00;5978.0;157.0;8435.0;521.0;0.0;3065.0;-103.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 22:45:00;;;;;;;;;;;;
2023-01-01 23:00:00;6554.0;157.0;8446.0;514.0;0.0;3167.0;-103.0;114.0;0.0;0.0;0.0;0.0
2023-01-01 23:15:00;;;;;;;;;;;;
2023-01-01 23:30:00;6023.0;157.0;8428.0;515.0;0.0;2926.0;-22.0;113.0;0.0;0.0;0.0;0.0
2023-01-01 23:45:00;;;;;;;;;;;;
