date;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore
2025-01-01 00:00:00;9002.0;134.0;11017.0;118.0;0.0;2609.0;-1301.0;40.0;0.0;0.0;ND;ND
2025-01-01 00:15:00;9023.0;134.0;10976.0;130.0;0.0;2473.0;-1456.0;40.0;0.0;0.0;ND;ND
2025-01-01 00:30:00;8940.0;133.0;10733.0;137.0;0.0;2454.0;-1456.0;40.0;0.0;0.0;ND;ND
2025-01-01 00:45:00;8803.0;125.0;10399.0;140.0;0.0;2345.0;-1453.0;40.0;0.0;0.0;ND;ND
2025-01-01 01:00:00;8802.0;126.0;10137.0;151.0;0.0;2319.0;-1459.0;40.0;0.0;0.0;ND;ND
2025-01-01 01:15:00;8753.0;125.0;9866.0;156.0;0.0;2557.0;-1458.0;40.0;0.0;0.0;ND;ND
2025-01-01 01:30:00;8718.0;125.0;9573.0;154.0;0.0;2511.0;-1455.0;40.0;0.0;0.0;ND;ND
2025-01-01 01:45:00;8713.0;125.0;9569.0;159.0;0.0;2470.0;-1456.0;40.0;0.0;0.0;ND;ND
2025-01-01 02:00:00;8719.0;126.0;9603.0;164.0;0.0;2500.0;-1455.0;40.0;0.0;0.0;ND;ND
2025-01-01 02:15:00;8828.0;120.0;9558.0;167.0;0.0;2291.0;-1537.0;40.0;0.0;4.0;ND;ND
2025-01-01 02:30:00;8727.0;120.0;9242.0;163.0;0.0;2235.0;-1538.0;40.0;0.0;0.0;ND;ND
2025-01-01 02:45:00;8690.0;120.0;9061.0;167.0;0.0;2235.0;-1536.0;40.0;0.0;0.0;ND;ND
2025-01-01 03:00:00;8630.0;119.0;8955.0;169.0;0.0;2049.0;-1540.0;39.0;0.0;0.0;ND;ND
2025-01-01 03:15:00;8615.0;119.0;8986.0;171.0;0.0;1851.0;-1614.0;39.0;0.0;5.0;ND;ND
2025-01-01 03:30:00;8535.0;120.0;8765.0;169.0;0.0;1840.0;-1620.0;38.0;0.0;0.0;ND;ND
2025-01-01 03:45:00;8433.0;120.0;8552.0;172.0;0.0;1860.0;-1616.0;38.0;0.0;0.0;ND;ND
2025-01-01 04:00:00;8417.0;120.0;8411.0;173.0;0.0;1830.0;-1613.0;38.0;0.0;0.0;ND;ND
2025-01-01 04:15:00;8368.0;120.0;8294.0;174.0;0.0;1764.0;-1855.0;39.0;0.0;0.0;ND;ND
2025-01-01 04:30:00;8283.0;119.0;8205.0;179.0;0.0;1741.0;-1857.0;40.0;0.0;0.0;ND;ND
2025-01-01 04:45:00;8259.0;120.0;8201.0;184.0;0.0;1730.0;-1856.0;40.0;0.0;0.0;ND;ND
2025-01-01 05:00:00;8266.0;119.0;8197.0;174.0;0.0;1881.0;-1850.0;40.0;0.0;0.0;ND;ND
2025-01-01 05:15:00;8340.0;120.0;8366.0;174.0;0.0;1874.0;-1612.0;40.0;0.0;0.0;ND;ND
2025-01-01 05:30:00;8292.0;119.0;8154.0;175.0;0.0;1889.0;-1613.0;40.0;0.0;0.0;ND;ND
2025-01-01 05:45:00;8292.0;119.0;7792.0;172.0;0.0;1858.0;-1618.0;40.0;0.0;0.0;ND;ND
2025-01-01 06:00:00;8169.0;120.0;7575.0;170.0;0.0;1808.0;-1618.0;40.0;0.0;0.0;ND;ND
2025-01-01 06:15:00;8168.0;120.0;7851.0;164.0;0.0;1829.0;-1857.0;40.0;0.0;0.0;ND;ND
2025-01-01 06:30:00;8136.0;119.0;7848.0;170.0;0.0;1774.0;-1851.0;40.0;0.0;0.0;ND;ND
2025-01-01 06:45:00;8157.0;120.0;7886.0;173.0;0.0;1789.0;-1849.0;40.0;0.0;0.0;ND;ND
2025-01-01 07:00:00;8056.0;120.0;7516.0;176.0;0.0;1800.0;-1854.0;40.0;0.0;0.0;ND;ND
2025-01-01 07:15:00;8122.0;135.0;7140.0;183.0;0.0;1831.0;-1851.0;40.0;0.0;0.0;ND;ND
2025-01-01 07:30:00;8106.0;135.0;7046.0;187.0;0.0;1897.0;-1853.0;40.0;0.0;0.0;ND;ND
2025-01-01 07:45:00;8130.0;135.0;7284.0;174.0;0.0;1855.0;-1851.0;40.0;0.0;0.0;ND;ND
2025-01-01 08:00:00;8167.0;135.0;7521.0;169.0;11.0;1877.0;-1854.0;40.0;0.0;0.0;ND;ND
2025-01-01 08:15:00;8077.0;135.0;7880.0;174.0;24.0;1842.0;-1774.0;40.0;0.0;0.0;ND;ND
2025-01-01 08:30:00;8123.0;135.0;8163.0;176.0;41.0;1850.0;-1778.0;40.0;0.0;0.0;ND;ND
2025-01-01 08:45:00;8251.0;135.0;8458.0;173.0;54.0;1771.0;-1773.0;40.0;0.0;0.0;ND;ND
2025-01-01 09:00:00;8212.0;135.0;8507.0;176.0;76.0;1851.0;-1778.0;40.0;0.0;0.0;ND;ND
2025-01-01 09:15:00;8261.0;135.0;8635.0;173.0;155.0;1790.0;-1775.0;40.0;0.0;0.0;ND;ND
2025-01-01 09:30:00;8332.0;135.0;8572.0;167.0;249.0;1739.0;-1774.0;40.0;-5.0;0.0;ND;ND
2025-01-01 09:45:00;8259.0;135.0;8604.0;162.0;341.0;1675.0;-1773.0;40.0;-5.0;0.0;ND;ND
2025-01-01 10:00:00;8260.0;135.0;8664.0;156.0;434.0;1660.0;-1764.0;40.0;-5.0;0.0;ND;ND
2025-01-01 10:15:00;8292.0;134.0;8743.0;149.0;537.0;1568.0;-1771.0;40.0;0.0;0.0;ND;ND
2025-01-01 10:30:00;8269.0;134.0;8779.0;143.0;627.0;1543.0;-1772.0;40.0;0.0;0.0;ND;ND
